Product,2006,2007,2008,2009,2010,2011,2012
Tea Exports (US $ mn),881.2,1025,1272,1185.306348,1440.620203,1490.898234,1411.9187
Rubber Exports (US $ mn),93.1,109.1,124.9334003,98.54103185,173.1795553,206.3150397,125.107677
Garment Exports (US $ mn),2917.038196,3144.665857,3283.799246,3119.552693,3178.39753,3985.753512,3784.294629
"Coconut Production and Exports (by Year, by Country)",,,,,,,
Coconut Production (mn nuts) (numbers are given under category 8),2785,2869,2909,2762,2584,2808,2940
Coconut Exports (mn nuts),456,457,380.3730196,366.6337412,251.1434841,385.7278239,350.694604
Coconut Exports by Country (US $ mn),,,,,,,
CHINA,5.925634206,2.891124809,1.940562327,25.0855964,25.59068904,30.5307528,27.87515945
U.S.A.,4.609662099,5.483233788,6.852137975,9.182614438,14.56157254,25.50100017,20.61739179
PAKISTAN,17.50850264,18.93890917,19.1206281,14.29935135,8.944617684,12.44490762,13.3070706
JAPAN,6.69625445,6.056574227,5.757596946,7.528045697,8.259800044,11.2143833,11.33267787
GERMANY,5.797748482,6.058492812,5.542519768,5.71004276,7.549955132,13.65368668,9.483487893
FRANCE,6.944455259,7.85238149,8.309073382,7.846779602,8.187328574,11.79577387,9.479003483
NETHERLANDS,6.962984457,8.849267306,9.774441125,9.207227826,9.710545926,8.410759253,8.857434402
EGYPT,6.112195546,6.957378136,7.585610493,6.339128138,6.746458373,13.41285099,8.296072769
U.ARB.E,10.96244892,16.15572073,19.12103024,13.19659471,11.34252519,23.84819099,7.952844062
SOUTH KOREA,5.478288774,5.788889618,5.397589081,7.192308169,0.469853632,7.208938066,7.878868008
SAUDI .ARABIA,3.616824868,3.885894794,5.230855513,5.581609155,4.376661089,10.13200759,7.151892332
SPAIN,3.824703349,4.667647257,6.090513635,4.873882481,5.506571291,10.7627053,7.069497796
UINTED KINGDOM,3.459102954,3.392633887,3.708987103,4.131747099,4.931491739,6.535574213,7.052242957
CANADA,2.771882086,2.143867055,3.557740613,4.486420673,4.158445235,4.958126264,6.994816651
MEXICO,0.422574712,0.7464024,1.294096792,1.908217875,3.354643032,4.402554321,5.236264982
